nm_Kit_ID,Easting,Northing,nm_Sampling_Date,fht_eDNA_survey_date,datecomp,fht_Site_comb,nm_Pond_Name,namedist,fht_Site_number,fht_Site_Name,Company,Sampler_Name,Sampling_DateTime,Arrival_Date,num_tubes,Damaged_tubes,Liquid_in_bag,Tubes_labelled,Tubes_filled,Additional_notes,Lab_work_Started,IPC_Positive_out_of_12,GCN_Positive_out_of_12,GCN_Status,GCN_Square,Site_number_CHECK,Surveyor,1_km_square,Grid_reference,eDNA_score,GCN_test_result,Positive_no_kit,Kit_negative,Newt_Positive_sites,Newt_Negative_sites,HSI1_Pond_location,HSI2_Pond_area,HSI3_Pond_drying,HSI4_Water_quality,HSI5_Shade,HSI6_Waterfowl,HSI7_Fish,HSI8_Pond_count,HSI9_Terrestrial_habitat,HSI10_Macrophytes,DIMITRIOS_HSI,NO_HSI_REASON,SITE_FROM_DIMITRIOS,Inflow_present,Outflow_present,Nitrate,Phosphate,Clean,N,P
FHT580,495481,247440,2017-06-09 00:00,2017-06-09 00:00,MATCH,The moat,87b,1,NA,The moat,Freshwater Habitats Trust,HJ,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,12,0,Negative,negative,NA,Hanna,SP9547,SP9548147440,0,Negative,FALSE,TRUE,NA,Negative,1,40,3,3,95,3,3,>12,3,20,0.543661485,NA,87b,N,N,<0.2,<0.2,1,0.1,0.01
FHT759,503396,240313,2017-06-09 00:00,NA,NA,How End Cottage Pond B,2a,1,NA,How End Cottage Pond B,Freshwater Habitats Trust,HJ,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,12,1,Positive,positive,NA,HJ,TL0340,TL0339640313,1,Positive,FALSE,FALSE,Positive,NA,1,70,1,3,0,3,2,2,2,80,0.568818739,NA,2a,NA,NA,NA,NA,NA,NA,NA
FHT912,500326,229532,2017-06-16 00:00,2017-06-16 00:00,MATCH,71,Toddington Manor,1,71,NA,Freshwater Habitats Trust,Iain Naismith,2017-06-16 15:20,2017-06-23 00:00,6,No,No,Yes,Yes,NA,2017-06-28 00:00,12,0,Negative,positive,71,Iain,TL0029,TL0032629532,0,Negative,FALSE,TRUE,Negative,NA,1,2100,3,4,80,3,4,18,4,30,0.545084987,NA,70,Y,Y,0.2-0.5,0.02-0.05,2,0.35,0.035
FHT927,497528,215056,2017-06-15 00:00,2017-06-15 00:00,MATCH,524,Wards Farm,1,524,NA,Freshwater Habitats Trust,Iain Naismith,2017-06-15 18:30,2017-06-23 00:00,6,No,No,Yes,Yes,NA,2017-06-28 00:00,12,1,Positive,negative,524,Iain,SP9715,SP9752815056,1,Positive,FALSE,FALSE,NA,Positive,1,490.9375,3,3,0,3,4,4,3,5,0.754892149,NA,524,N,N,<0.2,<0.02,2,0.1,0.01
FHT689,460957,198157,2017-05-21 00:00,2017-05-21 00:00,MATCH,241 Land at Belchers Farm and Ascot Farm,244 (SU6095798157),0.632407407,241,Land at Belchers Farm and Ascot Farm,Freshwater Habitats Trust,IS,2017-05-21 16:00,2017-05-25 00:00,6,No,No,Yes,Yes,NA,2017-05-30 00:00,12,12,Positive,negative,241,Ian,SU6098,SU6095798157,12,Positive,FALSE,FALSE,NA,Positive,1,2700,1,3,100,2,3,>12,4,0.1,0.769613634,NA,240,Y,Y,0.2-0.5,0.1-0.2,1,0.35,0.15
FHT858,502560,259550,2017-06-11 00:00,2017-06-11 00:00,MATCH,Bletsoe,185/496 - Bletsoe,0.599439776,NA,Bletsoe,Freshwater Habitats Trust,PSW,2017-06-11 15:50,2017-06-26 00:00,6,No,No,Yes,Yes,NA,2017-07-11 00:00,12,0,Negative,positive,NA,PSW,TL0259,TL02565955,0,Negative,FALSE,TRUE,Negative,NA,1,210,4,2,70,1,4,5,2,5,0.320920124,NA,185/496,N,N,<0.2,1+,1,0.1,1.1
FHT674,425219,191156,2017-05-23 00:00,2017-05-23 00:00,MATCH,NW of farm,Pond 292aSouth Down Park,0.597222222,NA,NW of farm,Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,negative,NA,IS,SU2591,SU2521991156,0,Negative,FALSE,TRUE,NA,Negative,1,400,1,4,60,3,4,1,4,70,0.8579172,NA,292a,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT620,500950,265230,2017-06-21 00:00,2017-06-21 00:00,MATCH,Yelden NR Red Barn: surveyed twice by Hannah and Penny,330/852 - Shireway Pond,0.585346216,NA,Yelden NR Red Barn: surveyed twice by Hannah and Penny,Freshwater Habitats Trust,HW,2017-06-21 16:20,2017-07-03 00:00,6,No,No,Yes,No,NA,2017-07-04 00:00,0,1,Positive,negative,NA,Hannah,TL0065 ,TL00956523,1,Positive,FALSE,FALSE,NA,Positive,1,240,3,3,70,3,4,4,2,30,0.688337214,NA,330 / 852,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT693,446799,199495,2017-05-13 00:00,2017-05-13 00:00,MATCH,18 BBOWT Typha pond in SW of Dry Sandford Pit,18P (SU 40979 99426),0.56957672,18,BBOWT Typha pond in SW of Dry Sandford Pit,Freshwater Habitats Trust,IS,2017-05-13 16:40,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,0,Negative,positive,18,Ian,SU4699,SU4679999495,0,Negative,FALSE,TRUE,Negative,NA,1,200,3,4,75,3,4,7,4,30?,0.767106844,NA,18,N,N,<0.2,<0.02,2,0.1,0.01
FHT681,460027,205952,2017-05-13 00:00,2017-05-13 00:00,MATCH,346 Oxford Brookes Wheatley Campus,346 (SP5941105935),0.525054466,346,Oxford Brookes Wheatley Campus,Freshwater Habitats Trust,IS,NA,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,9,Positive,negative,346,Ian,SP6005,SP6002705952,9,Positive,FALSE,FALSE,NA,Positive,1,263,1,3,100,3,3,11,3,5,0.627557459,NA,346,N,Y,<0.2,0.02-0.05,2,0.1,0.035
FHT685,460542,186155,2017-05-21 00:00,2017-05-21 00:00,MATCH,"512 North Stoke, W of Thames",512 (SU 60542 86155),0.514285714,512,"North Stoke, W of Thames",Freshwater Habitats Trust,Jeremy,2017-05-21 19:00,2017-05-25 00:00,6,No,No,Yes,Yes,NA,2017-05-30 00:00,12,0,Negative,negative,512,Ian,SU6086,SU6054286155,0,Negative,FALSE,TRUE,NA,Negative,1,400,2,3,100,3,3,4,3,0,0.647695404,NA,512,N,N,<0.2,0.2-0.5,1,0.1,0.35
FHT673,446050,204154,2017-05-13 00:00,2017-05-13 00:00,MATCH,260 WSW of Cumnor Post Office,260 04154 (SP 46050 04154),0.513815208,260,WSW of Cumnor Post Office,Freshwater Habitats Trust,IS,2017-05-13 19:30,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-25 00:00,12,0,Negative,negative,260,Ian,SP4604,SP4605004154,0,Negative,FALSE,TRUE,NA,Negative,1,280,1,3,1,3,3,8,3,80,0.826576323,NA,260,N,N,<0.2,0.2-0.5,1,0.1,0.35
FHT714,456233,205528,2017-05-13 00:00,2017-05-13 00:00,MATCH,36 Grounds of Watch Hill  BUT Braesnose Wood / Shotover CP,36 - Brasenose (SP 55993 05600),0.513620799,36,Grounds of Watch Hill  BUT Braesnose Wood / Shotover CP,Freshwater Habitats Trust,Jeremy,NA,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,0,Negative,positive,36,Ian,SP5605,SP5623305528,0,Negative,FALSE,TRUE,Negative,NA,1,50,3,4,100,3,4,5,0,2,0.320503747,NA,36,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT683,448952,201273,2017-05-13 00:00,2017-05-13 00:00,MATCH,"282 Garden of 'Fairholme' Fox Lane, Boars Hill",282 (SP 4801),0.502229654,282,"Garden of 'Fairholme' Fox Lane, Boars Hill",Freshwater Habitats Trust,IS,2017-05-13 18:00,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,0,Negative,negative,282,Ian,SP4801,SP4895201273,0,Negative,FALSE,TRUE,NA,Negative,1,175,3,3,100,3,4,12,4,5.00E-03,0.609153032,NA,282,N,N,<0.2,0.2-0.5,1,0.1,0.35
FHT695,456254,192573,2017-05-22 00:00,2017-05-22 00:00,MATCH,8 Hill Farm car park,Pond 8 p Earth Trust Hill Farm,0.486111111,8,Hill Farm car park,Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,positive,8,Ian,SU5692,SU5625492573,0,Negative,FALSE,TRUE,Negative,NA,1,32,1,1.5,5,3,4,7,3,0,0.59923235,NA,8,N,N,<0.2,0.1-0.2,1,0.1,0.15
FHT876,450477,189615,2017-06-15 00:00,2017-06-15 00:00,MATCH,66 UTC Oxfordshire SUDS (2nd summer of existance),66P - UTC College,0.482211066,66,UTC Oxfordshire SUDS (2nd summer of existance),Freshwater Habitats Trust,ID,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,12,0,Negative,positive,66,Ian,SU5089,SU5047789615,0,Negative,FALSE,TRUE,Negative,NA,1,300,NOT YET - 2nd summer of existance,4,0,3,4,3,3.5,5,NA,HSI 3,66,N,N,<0.2,<0.02,2,0.1,0.01
FHT485,473570,216910,2017-06-12 00:00,2017-06-12 00:00,MATCH,THE DAIRY.SMALLEST POND,7A The Dairy (SP 7356216879),0.477345119,NA,THE DAIRY.SMALLEST POND,Freshwater Habitats Trust,AH,2017-06-12 11:00,2017-06-16 00:00,6,No,No,Yes,Yes,NA,2017-06-20 00:00,12,1,Positive,negative,NA,Adrianna,SP7316,SP7357016910,1,Positive,FALSE,FALSE,NA,Positive,1,300,1,4,100,2,3,7,4,80,0.738851801,NA,7a,N,Y,<0.2,0.5-1,1,0.1,0.75
FHT618,503830,265720,2017-06-21 00:00,2017-06-21 00:00,MATCH,Melchbourne Bloms Bulbs,351/853 - Melchbourne Field Pond,0.459692029,NA,Melchbourne Bloms Bulbs,Freshwater Habitats Trust,HW,2017-06-21 15:15,2017-07-03 00:00,6,No,No,Yes,No,NA,2017-07-04 00:00,12,0,Negative,negative,NA,Penny/Jeremy,TL0365,TL03836572,0,Negative,FALSE,TRUE,NA,Negative,1,160,3,4,10,2,3,10,4,75,0.76352645,NA,351 / 853,N,N,0.2-0.5,0.05-0.1,1,0.35,0.075
FHT682,426361,196295,2017-05-23 00:00,2017-05-23 00:00,MATCH,Sump Pond at wood edge ditches - Badbury Forest by Nursery Cottage - Coleshill & Buscot - National Trust,Pond 338 Buscot NT estate,0.454335664,NA,Sump Pond at wood edge ditches - Badbury Forest by Nursery Cottage - Coleshill & Buscot - National Trust,Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,0,Negative,negative,NA,IS,SU2696,SU2636196295,0,Negative,FALSE,TRUE,NA,Negative,1,50,4,1.5,100,3,4,9,4,1,0.426252088,NA,338a,N,N,0.5-1,0.1-0.2,0,0.75,0.15
FHT680,425581,196509,2017-05-23 00:00,2017-05-23 00:00,MATCH,"Shooting Pond ? NW edge of Badbury Forest, Coleshill and Buscot National Trust",Pond 347a Buscot NT Estate,0.4496892,NA,"Shooting Pond ? NW edge of Badbury Forest, Coleshill and Buscot National Trust",Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,0,Negative,negative,NA,IS,SU2596,SU2558196509,0,Negative,FALSE,TRUE,NA,Negative,1,150,3,3,50,2,4,9,4,60,0.755524126,NA,347a,N,N,0.2-0.5,0.05-0.1,1,0.35,0.075
FHT855,461130,211080,2017-06-07 00:00,2017-06-07 00:00,MATCH,760 BERNWOOD MEADOW GCN POND  760,Bernwood Forest 1,0.449049317,760,BERNWOOD MEADOW GCN POND  760,Freshwater Habitats Trust,Penny Williams,2017-06-07 07:50,2017-06-16 00:00,6,No,No,Yes,Yes,NA,2017-06-22 00:00,12,0,Negative,negative,760,Penny Williams,SP6111,SP6113011080,0,Negative,FALSE,TRUE,NA,Negative,1,120,3,4,35,3,4,9,4,25,0.765115976,NA,760,N,N,<0.2,<0.02,2,0.1,0.01
FHT874,468099,184121,2017-06-13 00:00,2017-06-13 00:00,MATCH,"414 Pond north of play area, ISHREE BAGH, East of Maharajars Well, Stoke Well",414 - Stoke Row,0.44527417,414,"Pond north of play area, ISHREE BAGH, East of Maharajars Well, Stoke Well",Freshwater Habitats Trust,IS,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,12,5,Positive,negative,414,Ian,SU6884,SU6809984121,5,Positive,FALSE,FALSE,NA,Positive,1,260,3.5,2,95,3,4,>12,4,0,0.612448599,NA,414,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT679,456645,193388,2017-05-22 00:00,2017-05-22 00:00,MATCH,20 Opposite Wittenham House,Pond 20P Earth Trust 088. Church at Little Witten,0.443197942,20,Opposite Wittenham House,Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,positive,20,Ian,SU5693,SU5664593388,0,Negative,FALSE,TRUE,Negative,NA,1,200,1,4,50,3,4,12,4,70,0.902880451,NA,20,Y,?,0.2-0.5,0.05-0.1,1,0.35,0.075
FHT736,450118,191847,2017-05-26 00:00,2017-05-26 00:00,MATCH,151 Island Pond - BBOWT Sutton Courtney Discovery Centre,151P SCDC(Browt),0.433836996,151,Island Pond - BBOWT Sutton Courtney Discovery Centre,Freshwater Habitats Trust,IS,NA,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-08 00:00,12,0,Negative,positive,151,Ian,SU5091,SU5011891847,0,Negative,FALSE,TRUE,Negative,NA,1,0,1,3.5,35,3,4,8,4,75,0.717541223,NA,150,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT699,446046,207603,2017-05-19 00:00,2017-05-19 00:00,MATCH,"110 Radbrook Common, Wytham Wood",110P Wytham,0.422348485,110,"Radbrook Common, Wytham Wood",Freshwater Habitats Trust,IS,NA,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-08 00:00,11,0,Negative,positive,110,Ian,SP4607,SP4604607603,0,Negative,FALSE,TRUE,Negative,NA,1,1375,1.5,4,10,3,4,3,4,90,0.932231222,NA,110,N,Y,<0.2,0.05-0.1,1,0.1,0.075
FHT616,504739,263149,2017-06-21 00:00,2017-06-21 00:00,MATCH,875 Riseley Lodge Farm,875 - Forget Me Not Pond (S43),0.418037518,875,Riseley Lodge Farm,Freshwater Habitats Trust,HW,2017-06-21 14:00,2017-07-03 00:00,6,No,No,Yes,No,NA,2017-07-04 00:00,12,0,Negative,negative,875,HW,TL0463,TL0473963149,0,Negative,FALSE,TRUE,NA,Negative,1,3165,3,4,40,2,4,7,3,50,0.443335872,NA,863,N,N,<0.2,<0.02,2,0.1,0.01
FHT713,448447,198101,2017-05-14 00:00,2017-05-14 00:00,MATCH,409 Carleton House,409 - IOW Sister (Jan)(SU 48447 98101),0.414454941,409,Carleton House,Freshwater Habitats Trust,Jeremy,NA,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,1,Positive,negative,409,Ian,SU4898,SU4844798101,1,Positive,FALSE,FALSE,NA,Positive,1,8,1,4,15,3,4,2,3,60,0.703869669,NA,409,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT739,451070,189751,2017-06-15 00:00,2017-06-15 00:00,MATCH,568 B4493 west of Didcot Hospital,568 GWP Slade Road,0.40999741,568,B4493 west of Didcot Hospital,Freshwater Habitats Trust,IS,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-28 00:00,12,0,Negative,negative,568,Ian,SU5189,SU5107089751,0,Negative,FALSE,TRUE,NA,Negative,1,120,3.5,1.5,80,3,4,6,3,30,0.630637985,NA,568,N,N,<0.2,0.2-0.5,1,0.1,0.35
FHT314,502636,234234,2017-05-25 00:00,2017-05-25 00:00,MATCH,109,106 (TL02633423),0.402777778,109,NA,Freshwater Habitats Trust,Iain Naismith,2017-05-25 08:45,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-13 00:00,12,0,Negative,positive,109,Iain,TL0234,TL0263634234,0,Negative,FALSE,TRUE,Negative,NA,1,490,1,3,90,2,2,3,2,1,0.560341654,NA,109,Y,Y,<0.2,0.2-0.5,1,0.1,0.35
FHT675,440052,190332,2017-05-23 00:00,2017-05-23 00:00,MATCH,121 SUDS N of School Lane and West of Letcombe Brook.  NEmost of the three SUDS,Pond 121 P School Lane Suds Grove,0.400799792,121,SUDS N of School Lane and West of Letcombe Brook.  NEmost of the three SUDS,Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,positive,121,Ian,SU4090,SU4005290332,0,Negative,FALSE,TRUE,Negative,NA,1,420,3.5,1?,5,3,4,6,3.5,100,0.540906846,NA,121,Y,Y,<0.2,0.1-0.2,1,0.1,0.15
FHT694,454502,189280,2017-05-22 00:00,2017-05-22 00:00,MATCH,"130 Near Fulscot Cottages, SE of Didcot",Pond 120a Fulscot Maner,0.400099096,130,"Near Fulscot Cottages, SE of Didcot",Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,positive,130,Ian,SU5489,SU5450289280,0,Negative,FALSE,TRUE,Negative,NA,1,145,3.5,1.5,100,3,4,3,3,0,0.381017496,NA,129,N,N,<0.2,0.2-0.5,1,0.1,0.35
FHT707,456190,203271,2017-05-13 00:00,2017-05-13 00:00,MATCH,"230 The Farmhouse, Guydens Hamlet",230 Guydens Farm (SP 56190 03271),0.396863371,230,"The Farmhouse, Guydens Hamlet",Freshwater Habitats Trust,Jeremy,NA,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,0,Negative,negative,230,Ian,SP5603,SP5619003271,0,Negative,FALSE,TRUE,NA,Negative,1,250,1,3,55,3,1,0,2,1,0.280215562,NA,230,Y,Y,0.2-0.5,0.05-0.1,1,0.35,0.075
FHT696,456473,191859,2017-05-22 00:00,2017-05-22 00:00,MATCH,"38 White Lees Farm, old Thames Water Sewage Lorry flushing pond/ tank",Pond 38p Side of B White Less farm,0.393795924,38,"White Lees Farm, old Thames Water Sewage Lorry flushing pond/ tank",Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,positive,38,Ian,SU5691,SU5647391859,0,Negative,FALSE,TRUE,Negative,NA,1,200,3.5,1,5,3,4,6,3,100,0.504683933,NA,38,?,?,<0.2,1+,1,0.1,1.1
FHT745,423458,188001,2017-05-27 00:00,2017-05-27 00:00,MATCH,51 Bourton - Wilts & Berks Canal - east side of bridge,"Willis and Berks canal, Bourton",0.393269614,51,Bourton - Wilts & Berks Canal - east side of bridge,Freshwater Habitats Trust,IS,NA,2017-06-16 00:00,6,No,No,Yes,Yes,NA,2017-06-22 00:00,12,0,Negative,positive,51,Ian,SU2388,SU2345888001,0,Negative,FALSE,TRUE,Negative,NA,1,30,3,3.5,0,3,4,3,4,60,0.705622048,NA,51,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT900,437253,199372,2017-06-12 00:00,2017-06-12 00:00,MATCH,"67 Pond in 'The Warren', Hinton Manor, Hinton Waldrist",67P - Hinton Waldrist,0.39021164,67,"Pond in 'The Warren', Hinton Manor, Hinton Waldrist",Freshwater Habitats Trust,-,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-28 00:00,12,0,Negative,positive,67,Ian,SU3799,SU3725399372,0,Negative,FALSE,TRUE,Negative,NA,1,1030,2,3,95,3,4,7,4,5,0.761333088,NA,67,N,N,<0.2,0.2-0.5,1,0.1,0.35
FHT743,424062,190056,2017-05-27 00:00,2017-05-27 00:00,MATCH,28 BBOWT Tuckmill Meadow Reserve - Watchfield (West),28P -Tuckmill Meadow,0.39017094,28,BBOWT Tuckmill Meadow Reserve - Watchfield (West),Freshwater Habitats Trust,IS,NA,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-08 00:00,12,0,Negative,positive,28,Ian,SU2490,SU2406290056,0,Negative,FALSE,TRUE,Negative,NA,1,305,3,1.5,15,3,4,8,4,100,0.766162313,NA,27,Y,Y,0.5-1,0.1-0.2,0,0.75,0.15
FHT708,452212,197186,2017-05-13 00:00,2017-05-13 00:00,MATCH,41 Radley Pond North,Radley N Pond (SP 52212 97186),0.384920635,41,Radley Pond North,Freshwater Habitats Trust,Jeremy,NA,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,0,1,Positive,positive,41,Ian,SU5297,SU5221297186,1,Positive,FALSE,FALSE,Positive,NA,1,3742,1,4,90,3,1,>12,4,10,0.551726586,NA,40,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT751,436152,191246,2017-06-02 00:00,2017-06-02 00:00,MATCH,320 Sump pond at corner of field edge ditches,320 - Church Farm Goosey,0.384844055,320,Sump pond at corner of field edge ditches,Freshwater Habitats Trust,IS,NA,2017-06-16 00:00,6,No,No,Yes,Yes,NA,2017-06-22 00:00,12,1,Positive,negative,320,Ian,SU3691,SU3615291246,1,Positive,FALSE,FALSE,NA,Positive,1,50,4,1.5,100,3,4,>12,3,0,0.409518946,NA,320,N,N,0.2-0.5,0.1-0.2,1,0.35,0.15
FHT392,481395,217877,2017-05-23 00:00,2017-05-23 00:00,MATCH,STOCKAWAY,63A Stockaway (SP 81395 17877),0.381481481,NA,STOCKAWAY,Freshwater Habitats Trust,AH,2017-05-23 17:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,0,Negative,positive,NA,Adrianna,SP8117,SP8139517877,0,Negative,FALSE,TRUE,Negative,NA,1,80,1,3,20,2,2,4,4,40,0.664549996,NA,63a,N,N,0.2-0.5,0.05-0.1,1,0.35,0.075
FHT700,453445,208173,2017-05-11 00:00,2017-05-11 00:00,MATCH,5 Peasmore Piece,Peasmoor Piece (SP 53445 08173),0.37922427,5,Peasmore Piece,Freshwater Habitats Trust,IS,2017-05-11 13:15,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,5,Positive,positive,5,Ian,SP5308,SP5344508173,5,Positive,FALSE,FALSE,Positive,NA,1,170,4,4,100,3,4,3,3,1,0.49897674,NA,5,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT697,440979,198210,2017-05-19 00:00,NA,NA,84 Millennium Green in Kingston Bagpuize,Pond 84 P Millenium Green,0.378333333,84,Millennium Green in Kingston Bagpuize,Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,5,Positive,positive,84,Ian,SU4098,SU4097998210,5,Positive,FALSE,FALSE,Positive,NA,1,700,0,3.5,<1%,3,4,6,3.5,?,NA,AQ VEG,84,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT692,445825,207459,2017-05-19 00:00,2017-05-19 00:00,MATCH,"99 Rough Copse, Wytham Wood",99P- Wytham Issues,0.377425044,99,"Rough Copse, Wytham Wood",Freshwater Habitats Trust,IS,NA,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-08 00:00,12,0,Negative,positive,99,Ian,SP4507,SP4582507459,0,Negative,FALSE,TRUE,Negative,NA,1,2000,1.5,4,25,3,4,3,4,50,0.786003086,NA,98,Y,Y,<0.2,0.05-0.1,1,0.1,0.075
FHT669,435825,188902,2017-05-27 00:00,2017-05-27 00:00,MATCH,"42 Kiln House, Clarnhill Brake",42P Brick Kiln,0.373448773,42,"Kiln House, Clarnhill Brake",Freshwater Habitats Trust,IS,NA,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-08 00:00,12,1,Positive,positive,42,Ian,SU3588,SU3582588902,1,Positive,FALSE,FALSE,Positive,NA,1,1400,1,2.5,100,2.5,2.5,>12,3,10,0.672214097,NA,42,N,N,<0.2,0.5-1,1,0.1,0.75
FHT690,446525,206531,2017-05-19 00:00,2017-05-19 00:00,MATCH,"119 Farmhouse Pond, ( NOT shown on maps), Hill End Field Centre",Pond 119 p Farmhouse pond,0.372460317,119,"Farmhouse Pond, ( NOT shown on maps), Hill End Field Centre",Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,4,Positive,positive,119,Ian,SP4606,SP4652506531,4,Positive,FALSE,FALSE,Positive,NA,1,10,1,3,70,3,4,5,4,100,0.718492252,NA,119,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT574,500981,249179,2017-05-18 00:00,2017-05-18 00:00,MATCH,539 Box End Road Pond,Box End Road Pond (TL 00981 49179),0.371148459,539,Box End Road Pond,Freshwater Habitats Trust,HJ,2017-05-18 17:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,1,0,Inconclusive,negative,539,Hanna,TL0049,TL0098149179,0,Inconclusive,FALSE,FALSE,NA,Inconclusive,1,18,3,2,90,3,4,0,4,18,0.35259459,NA,539,N,N,02-Jan,0.1-0.2,0,1.5,0.15
FHT1066,509607,261559,2017-06-24 00:00,2017-06-24 00:00,MATCH,590 Little Staughton West,590 - Pheashant Wood,0.365714286,590,Little Staughton West,Freshwater Habitats Trust,HW,2017-06-24 09:15,2017-07-03 00:00,6,No,No,Yes,No,NA,2017-07-06 00:00,11,2,Positive,negative,590,Hannah,TL0961,TL0960761559,2,Positive,FALSE,FALSE,NA,Positive,1,170,3,3,98,3,4,9,3,0.5,0.609456925,NA,590,N,N,0.2-0.5,0.2-0.5,1,0.35,0.35
FHT746,427208,190558,2017-05-27 00:00,2017-05-27 00:00,MATCH,"302 Mayow's Pond, Nutford Lodge, Longcot, Watchfield",302- Nutford Lane,0.364960407,302,"Mayow's Pond, Nutford Lodge, Longcot, Watchfield",Freshwater Habitats Trust,IS,NA,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-08 00:00,12,1,Positive,negative,302,Ian,SU2790,SU2720890558,1,Positive,FALSE,FALSE,NA,Positive,1,855,1,2.5,20,2,3,7,3.5,40,0.811870168,NA,302,N,N,<0.2,1+,1,0.1,1.1
FHT752,435507,189064,2017-06-03 00:00,2017-06-03 00:00,MATCH,"361 Sump Pond at junction of ditches, Petwick Plantation, NW of West Challow",361P Petuick Plantation,0.362890923,361,"Sump Pond at junction of ditches, Petwick Plantation, NW of West Challow",Freshwater Habitats Trust,IS,NA,2017-06-08 00:00,6,No,No,Yes,Yes,NA,2017-06-08 00:00,12,0,Negative,negative,361,Ian,SU3589,SU3550789064,0,Negative,FALSE,TRUE,NA,Negative,1,140,3.5,2,100,3,4,0,3.5,0,0.338752981,NA,361,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT879,467552,180828,2017-06-13 00:00,2017-06-13 00:00,MATCH,"259 Sheepwash Pond, Nippers Grove, 3km West of Woodcote",259 - Sheepwash Pond,0.357655502,259,"Sheepwash Pond, Nippers Grove, 3km West of Woodcote",Freshwater Habitats Trust,IS,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,11,0,Negative,negative,259,Ian,SU6780,SU6755280828,0,Negative,FALSE,TRUE,NA,Negative,1,216,4,2,100,3,4,11,4,0,0.489635072,NA,259,N,N,<0.2,0.02-0.05,2,0.1,0.035
