nm_Kit_ID,Easting,Northing,nm_Sampling_Date,fht_eDNA_survey_date,datecomp,fht_Site_comb,nm_Pond_Name,namedist,fht_Site_number,fht_Site_Name,Company,Sampler_Name,Sampling_DateTime,Arrival_Date,num_tubes,Damaged_tubes,Liquid_in_bag,Tubes_labelled,Tubes_filled,Additional_notes,Lab_work_Started,IPC_Positive_out_of_12,GCN_Positive_out_of_12,GCN_Status,GCN_Square,Site_number_CHECK,Surveyor,1_km_square,Grid_reference,eDNA_score,GCN_test_result,Positive_no_kit,Kit_negative,Newt_Positive_sites,Newt_Negative_sites,HSI1_Pond_location,HSI2_Pond_area,HSI3_Pond_drying,HSI4_Water_quality,HSI5_Shade,HSI6_Waterfowl,HSI7_Fish,HSI8_Pond_count,HSI9_Terrestrial_habitat,HSI10_Macrophytes,DIMITRIOS_HSI,NO_HSI_REASON,SITE_FROM_DIMITRIOS,Inflow_present,Outflow_present,Nitrate,Phosphate,Clean,N,P
FHT451,470422,217623,2017-05-26 00:00,2017-05-26 00:00,MATCH,39 SOUTH A41.1,39 South A41.1 (SP70422 17623),0.177777778,39,SOUTH A41.1,Freshwater Habitats Trust,AH,2017-05-26 17:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,positive,39,Adrianna,SP7017,SP7042217623,0,Negative,FALSE,TRUE,Negative,NA,1,245,3,4,70,3,4,3,3,40,0.759401018,NA,39,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT1052,509356,254324,2017-06-14 00:00,2017-06-14 00:00,MATCH,17 High Farm Ditch Pond,High Farm Ditch Pond,0.176811594,17,High Farm Ditch Pond,Freshwater Habitats Trust,HW,2017-06-14 11:10,2017-07-03 00:00,6,No,No,Yes,Yes,NA,2017-07-03 00:00,12,0,Negative,positive,17,Hannah,TL0954,TL0935654324,0,Negative,FALSE,TRUE,Negative,NA,1,201,4,2,30,3,4,8,4,10,0.591920515,NA,17,N,N,<0.2,0.5-1,1,0.1,0.75
FHT1091,500910,266340,2017-06-11 00:00,2017-06-11 00:00,MATCH,851 Yelden Fish Pond,851 - Yeldon Fish Pond,0.1761563,851,Yelden Fish Pond,Freshwater Habitats Trust,PJW,2017-06-11 09:45,2017-06-26 00:00,6,No,No,Yes,Yes,NA,2017-06-29 00:00,12,0,Negative,negative,851,Penny/Jeremy,TL0066 ,TL00916634,0,Negative,FALSE,TRUE,NA,Negative,1,450,1,3,5,3,1,5,3,10,0.514706276,NA,851,N,N,0.2-0.5,<0.2,1,0.35,0.01
FHT445,470421,221229,2017-05-27 00:00,2017-05-27 00:00,MATCH,9 OAK TREE FARM.1,9 Oak Tree Farm (SP7042121229),0.175163399,9,OAK TREE FARM.1,Freshwater Habitats Trust,AH,2017-05-27 16:30,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,positive,9,Adrianna,SP7021,SP7042121229,0,Negative,FALSE,TRUE,Negative,NA,1,680,1,4,100,2,2,3,3,80,0.669644793,NA,9,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT576,486857,249259,2017-05-24 00:00,2017-05-24 00:00,MATCH,572 Church Farm Pond,573 Church Farm Pond (SP86857 49259),0.174074074,572,Church Farm Pond,Freshwater Habitats Trust,HJ,2017-05-24 10:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,0,Negative,negative,572,Hanna,SP8649,SP8685749259,0,Negative,FALSE,TRUE,NA,Negative,1,140,3,2,60,3,4,1,2,80,0.587521873,NA,572,N,N,<0.2,0.02-0.05,2,0.1,0.035
FHT661,460575,198588,2017-06-26 00:00,2017-06-26 00:00,MATCH,Manor House Stadhampton,Manor House,0.173913043,NA,Manor House Stadhampton,Freshwater Habitats Trust,PN,2017-06-26 08:30,2017-07-03 00:00,6,No,No,Yes,Yes,NA,2017-07-04 00:00,12,0,Negative,negative,NA,PN,SU6098,SU6057598588,0,Negative,FALSE,TRUE,NA,Negative,1,250,1,3,65,2,3,9,2,50,0.709134045,NA,MANO,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT614,496464,241729,2017-06-15 00:00,2017-06-15 00:00,MATCH,180 Rectory Wood Pond 2 (180),Rectory Wood Pond 2 (180),0.172643678,180,Rectory Wood Pond 2 (180),Freshwater Habitats Trust,HJ,NA,2017-06-26 00:00,6,No,No,Yes,Yes,NA,2017-06-29 00:00,12,0,Negative,positive,180,Hanna,SP9641,SP9646441729,0,Negative,FALSE,TRUE,Negative,NA,1,890,1,3,1,2,2,9,4,85,0.811681362,NA,180,N,N,0.5-1,<0.02,1,0.75,0.01
FHT431,468435,224178,2017-05-23 00:00,2017-05-23 00:00,MATCH,176 KILN CLOSE,176 Kiln Close (SP6843524178),0.172413793,176,KILN CLOSE,Freshwater Habitats Trust,AH,2017-05-23 15:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,0,Negative,positive,176,Adrianna,SP6824,SP6843524178,0,Negative,FALSE,TRUE,Negative,NA,1,512,1,4,100,2,3,3,3,10,0.655853109,NA,176,N,N,0.2-0.5,0.5-1,1,0.35,0.75
FHT393,477136,211116,2017-05-24 00:00,2017-05-24 00:00,MATCH,519 SCHOOL LANE,519 School Lane (SP77136 11116),0.172043011,519,SCHOOL LANE,Freshwater Habitats Trust,AH,2017-05-24 11:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,0,Negative,negative,519,Adrianna,SP7711,SP7713611116,0,Negative,FALSE,TRUE,NA,Negative,1,170,2,3,100,3,3,5,3,5,0.608851541,NA,519,N,Y,<0.2,0.1-0.2,1,0.1,0.15
FHT422,468867,223930,2017-05-23 00:00,2017-05-23 00:00,MATCH,502 FCC WASTE 2,502 FCC Waste 2 (SP68867 23930),0.172043011,502,FCC WASTE 2,Freshwater Habitats Trust,AH,2017-05-23 12:30,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,0,0,Inconclusive,negative,502,Adrianna,SP6823,SP6886723930,0,Inconclusive,FALSE,FALSE,NA,Inconclusive,1,7000,1,4,90,2,2,7,3,20,0.677255933,NA,500,N,Y,<0.2,0.05-0.1,1,0.1,0.075
FHT432,484617,215428,2017-05-24 00:00,2017-05-24 00:00,MATCH,306 BIERTON LAWN,306 Bierton Lawn (SP 84617 15428),0.171717172,306,BIERTON LAWN,Freshwater Habitats Trust,AH,2017-05-24 14:00,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-01 00:00,12,1,Positive,negative,306,Adrianna,SP8415,SP8461715428,1,Positive,FALSE,FALSE,NA,Positive,1,350,4,1,80,2,4,4,2,5,0.35205852,NA,306,N,Y,<0.2,0.5-1,1,0.1,0.75
FHT727,452664,203267,2017-06-03 00:00,2017-06-03 00:00,MATCH,752 752 - Rivermead NP,752 - Rivermead NP,0.171717172,752,752 - Rivermead NP,Freshwater Habitats Trust,JB,2017-06-03 10:15,2017-06-16 00:00,6,No,No,Yes,Yes,NA,2017-06-22 00:00,12,0,Negative,negative,752,JB,SP5203,SP5266403267,0,Negative,FALSE,TRUE,NA,Negative,1,430,1,3,20,3,2,1,3,10,0.648321039,NA,752,N,N,0.2-0.5,0.02-0.05,2,0.35,0.035
