1,01A,anterne_V3_gh,ANT35A1a
1,01B,anterne_V3_gh,ANT35A2a
1,01C,anterne_V3_gh,ANT35B1a
1,01D,anterne_V3_gh,ANT35B2a
1,01E,anterne_V3_gh,ANT34A1a
1,01F,anterne_V3_gh,ANT34A2a
1,01G,anterne_V3_gh,ANT34B1a
1,01H,anterne_V3_gh,ANT34B2a
1,02A,anterne_V3_gh,ANT33A1a
1,02B,anterne_V3_gh,ANT33A2a
1,02C,anterne_V3_gh,ANT33B1a
1,02D,anterne_V3_gh,ANT33B2a
1,02E,anterne_V3_gh,ANT32A1a
1,02F,anterne_V3_gh,ANT32A2a
1,02G,anterne_V3_gh,ANT32B1a
1,02H,anterne_V3_gh,ANT32B2a
1,03A,anterne_V3_gh,ANT31A1a
1,03B,anterne_V3_gh,ANT31A2a
1,03C,anterne_V3_gh,ANT31B1a
1,03D,anterne_V3_gh,ANT31B2a
1,03E,anterne_V3_gh,ANT30A1a
1,03F,anterne_V3_gh,ANT30A2a
1,03G,anterne_V3_gh,ANT30B1a
1,03H,anterne_V3_gh,ANT30B2a
1,04A,anterne_V3_gh,ANT29A1a
1,04B,anterne_V3_gh,ANT29A2a
1,04C,anterne_V3_gh,ANT29B1a
1,04D,anterne_V3_gh,ANT29B2a
1,04E,anterne_V3_gh,ANT28A1a
1,04F,anterne_V3_gh,ANT28A2a
1,04G,anterne_V3_gh,ANT28B1a
1,04H,anterne_V3_gh,ANT28B2a
1,05A,anterne_V3_gh,ANT27A1a
1,05B,anterne_V3_gh,ANT27A2a
1,05C,anterne_V3_gh,ANT27B1a
1,05D,anterne_V3_gh,ANT27B2a
1,05E,anterne_V3_gh,ANT26A1a
1,05F,anterne_V3_gh,ANT26A2a
1,05G,anterne_V3_gh,ANT26B1a
1,05H,anterne_V3_gh,ANT26B2a
1,06A,anterne_V3_gh,ANT25A1a
1,06B,anterne_V3_gh,ANT25A2a
1,06C,anterne_V3_gh,TEMEXT2a
1,06D,anterne_V3_gh,ANT25B1a
1,06E,anterne_V3_gh,ANT25B2a
1,06F,anterne_V3_gh,ANT24A1a
1,06G,anterne_V3_gh,ANT24A2a
1,06H,anterne_V3_gh,ANT24B1a
1,07A,anterne_V3_gh,ANT24B2a
1,07B,anterne_V3_gh,ANT23A1a
1,07C,anterne_V3_gh,ANT23A2a
1,07D,anterne_V3_gh,ANT23B1a
1,07E,anterne_V3_gh,ANT23B2a
1,07F,anterne_V3_gh,ANT22A1a
1,07G,anterne_V3_gh,ANT22A2a
1,07H,anterne_V3_gh,ANT22B1a
1,08A,anterne_V3_gh,ANT22B2a
1,08B,anterne_V3_gh,ANT21A1a
1,08C,anterne_V3_gh,ANT21A2a
1,08D,anterne_V3_gh,ANT21B1a
1,08E,anterne_V3_gh,ANT21B2a
1,08F,anterne_V3_gh,ANT20A1a
1,08G,anterne_V3_gh,ANT20A2a
1,08H,anterne_V3_gh,ANT20B1a
1,09A,anterne_V3_gh,ANT20B2a
1,09B,anterne_V3_gh,ANT19A1a
1,09C,anterne_V3_gh,ANT19A2a
1,09D,anterne_V3_gh,ANT19B1a
1,09E,anterne_V3_gh,ANT19B2a
1,09F,anterne_V3_gh,ANT18A1a
1,09G,anterne_V3_gh,TEMPCR1a
1,09H,anterne_V3_gh,ANT18A2a
1,10A,anterne_V3_gh,ANT18B1a
1,10B,anterne_V3_gh,ANT18B2a
1,10C,anterne_V3_gh,ANT17A1a
1,10D,anterne_V3_gh,ANT17A2a
1,10E,anterne_V3_gh,ANT17B1a
1,10F,anterne_V3_gh,ANT17B2a
1,10G,anterne_V3_gh,ANT16A1a
1,10H,anterne_V3_gh,ANT16A2a
1,11A,anterne_V3_gh,ANT16B1a
1,11B,anterne_V3_gh,ANT16B2a
1,11C,anterne_V3_gh,ANT15A1a
1,11D,anterne_V3_gh,ANT15A2a
1,11E,anterne_V3_gh,ANT15B1a
1,11F,anterne_V3_gh,ANT15B2a
1,11G,anterne_V3_gh,ANT14A1a
1,11H,anterne_V3_gh,ANT14A2a
1,12A,anterne_V3_gh,ANT14B1a
1,12B,anterne_V3_gh,ANT14B2a
1,12C,anterne_V3_gh,ANT13A1a
1,12D,anterne_V3_gh,ANT13A2a
1,12E,anterne_V3_gh,ANT13B1a
1,12F,anterne_V3_gh,ANT13B2a
1,12G,anterne_V3_gh,ANT12A1a
1,12H,anterne_V3_gh,ANT12A2a
2,01A,anterne_V3_gh,ANT12B1a
2,01B,anterne_V3_gh,ANT12B2a
2,01C,anterne_V3_gh,ANT11A1a
2,01D,anterne_V3_gh,ANT11A2a
2,01E,anterne_V3_gh,ANT11B1a
2,01F,anterne_V3_gh,ANT11B2a
2,01G,anterne_V3_gh,ANT10A1a
2,01H,anterne_V3_gh,ANT10A2a
2,02A,anterne_V3_gh,ANT10B1a
2,02B,anterne_V3_gh,ANT10B2a
2,02C,anterne_V3_gh,ANT09A1a
2,02D,anterne_V3_gh,ANT09A2a
2,02E,anterne_V3_gh,ANT09B1a
