labname	sitename	lysis_ratio	UTM_E	UTM_N	be10	tri	slope	aspect	Nss	Ess	twi	ht	ht.r250	ht.r500	ht.r1k	cov2_4	cov2_4.r250	cov2_4.r500	cov2_4.r1k	cov4_16	cov4_16.r250	cov4_16.r500	cov4_16.r1k	be500	mTopo	cut.r1k.pt	clearcut	insideHJA	oldGrowthIndex	elevation_f	canopyHeight_f	minT_annual	maxT_annual	precipitation_mm	distToRoad_m	distToStream_m	YrsSinceDist	B1_20180717	B2_20180717	B3_20180717	B4_20180717	B5_20180717	B6_20180717	B7_20180717	B10_20180717	B11_20180717	NDVI_20180717	EVI_20180717	B_20180717	G_20180717	W_20180717	B1_20180726	B2_20180726	B3_20180726	B4_20180726	B5_20180726	B6_20180726	B7_20180726	B10_20180726	B11_20180726	NDVI_20180726	EVI_20180726	B_20180726	G_20180726	W_20180726	B1_20180802	B2_20180802	B3_20180802	B4_20180802	B5_20180802	B6_20180802	B7_20180802	B10_20180802	B11_20180802	NDVI_20180802	EVI_20180802	B_20180802	G_20180802	W_20180802	B1_20180818	B2_20180818	B3_20180818	B4_20180818	B5_20180818	B6_20180818	B7_20180818	B10_20180818	B11_20180818	NDVI_20180818	EVI_20180818	B_20180818	G_20180818	W_20180818	mean.NDVI	mean.EVI	mean.bright	mean.green	mean.wet	mean.NDVI.scale	mean.EVI.scale	mean.green.scale	mean.bright.scale	mean.wet.scale	l_Cover_2m_max	l_Cover_2m_max_all	l_Cover_2m_4m	l_Cover_2m_4m_all	l_Cover_4m_16m	l_p25	l_p25_all	l_p95	l_p95_all	l_rumple	uniqueID	elevation_m	canopyHeight_m	B1_median	B2_median	B3_median	B4_median	B5_median	B6_median	B7_median	B10_median	B11_median	lg_DistStream	lg_DistRoad	lg_YrsDisturb	lg_cover2m_max	lg_cover2m_4m	lg_cover4m_16m	ndmi_stdDev	ndvi_p5	ndvi_p50	ndvi_p95	ndmi_p5	ndmi_p50	ndmi_p95	savi_p50	LC08_045029_20180726_B1	LC08_045029_20180726_B3	LC08_045029_20180726_B4	LC08_045029_20180726_B5	LC08_045029_20180726_B7	LC08_045029_20180726_B10	ndmi_stdDev_100m	ndvi_p5_100m	ndvi_p50_100m	ndvi_p95_100m	ndmi_p5_100m	ndmi_p50_100m	ndmi_p95_100m	savi_p50_100m	LC08_045029_20180726_B1_100m	LC08_045029_20180726_B3_100m	LC08_045029_20180726_B4_100m	LC08_045029_20180726_B5_100m	LC08_045029_20180726_B7_100m	LC08_045029_20180726_B10_100m	tpi250	tpi500	tpi1k	tpi
S-15-3	642613-M1-S2	0.109090909	556854	4891361	431.0589294	1.015445709	7.459845819	70.36843051	0.335970584	0.941872479	7.339729065	46.77999878	33.11679592	33.68869773	31.13532877	9.73E-04	0.010044621	0.013023404	0.02290156	0.010785961	0.043278079	0.068854187	0.10934746	453.7378632	-22.6789338	0.27703281	no	no	6	1412.030029	84.19995117	4.599999905	16.79000092	1891.48999	60.30337379	861.5656783	200	47	85	242	142	2423	827	309	3023	3011	889	2161	1916	1727	-269	206	209	333	191	2732	992	369	3023	3005	869	2748	2249	1894	-331	101	124	256	160	2433	792	302	2948	2940	876	2306	1933	1716	-230	-2	45	186	108	2225	728	276	2980	2972	907	2086	1714	1613	-236	0.88525	2.32525	1953	1737.5	-266.5	0.119732014	1.276742054	-0.046038424	-0.039891009	-0.018298864	0.985147178	0.923458815	9.73E-04	0.008205765	0.010785961	27.10000038	23.46999931	46.77999878	44.79000092	4.789874554	642613_M1_S2	430.3867528	25.66414512	74	104.5	249	151	2428	809.5	305.5	3001.5	2988.5	6.758752451	4.099404635	5.298322367	-0.013949668	-6.228451138	-4.440846236	0.067072945	0.780570328	0.867240429	0.90741533	0.455804735	0.506941497	0.548256695	-0.760298967	206	333	191	2732	369	3023	0.051799707	0.785982557	0.868501122	0.905589791	0.450118336	0.501874447	0.539147622	-0.752694752	218.1944444	347.7777778	202.6388889	2992.277778	389.6388889	3023.25	101.9707031	81.67965698	80.41560364	6
S-15-4	647830-M1-S2	0.083333333	559534	4891481	506.6013794	1.775447845	13.01894765	173.7493745	-0.99405515	0.108877727	7.133684369	40.81150055	31.16976985	32.54021031	31.53251115	0.035297275	0.018749903	0.021513112	0.024304363	0.027378876	0.060738175	0.100917418	0.124794825	518.536127	-11.93474765	0.513837375	yes	no	48	1663.089966	128.2800293	3.849999905	15.77999973	1825.199951	79.78387865	813.4833919	73	58	79	251	135	2552	823	305	3023	3016	899	2181	1987	1831	-244	197	203	339	182	2894	944	355	3025	3014	881	2751	2321	2028	-266	84	115	254	146	2481	766	288	2956	2947	888	2339	1939	1766	-201	5	42	213	114	2520	774	285	2981	2975	913	2081	1914	1836	-219	0.89525	2.338	2040.25	1865.25	-232.5	0.340034331	1.341057979	0.306295573	0.172793325	0.136135503	0.931150198	0.869799674	0.035297275	0.057608265	0.027378876	27.45999908	22.03000069	40.81150055	39.26800156	6.093165874	647830_M1_S2	506.9098216	39.09975293	71	97	252.5	140.5	2536	798.5	296.5	3002	2994.5	6.70132674	4.379333996	4.29047314	-0.070261321	-3.316012621	-3.562110222	0.026070652	0.793443799	0.875121951	0.91405344	0.478808701	0.531515181	0.582968771	-0.797151923	201	332	181	2749	347	3025	0.025786271	0.785443791	0.872111188	0.910791234	0.455028742	0.507744919	0.554889303	-0.761503455	198.2	335.3428571	189.0285714	2783.857143	372.6571429	3025.028571	125.576828	108.1273422	98.38108063	6
S-15-5	650846-M1-S2	0.24	557737	4891311	402.2724915	1.62530899	12.27067557	178.926598	-0.999824516	0.018733303	6.70634286	10.98999977	22.57175083	30.07537705	29.55864025	0.041687906	0.080173562	0.045745416	0.026668834	0	0.069188664	0.080358417	0.095992377	429.9637649	-27.69127348	0.047360913	no	no	7	1319.73999	33.31005859	4.119999886	16.25	1892.400024	17.18850149	651.3817084	17	87	111	326	164	3974	921	322	3034	3023	920	2308	2892	2918	-69	229	221	402	184	4444	1062	356	3033	3019	920	2736	3278	3237	-86	128	136	316	159	4027	895	299	2971	2958	924	2440	2907	2964	-32	30	62	255	119	3949	879	302	2995	2987	941	2280	2795	2951	-62	0.92625	2.441	2968	3017.5	-62.25	1.022971514	1.860629767	3.484196535	2.434316428	0.909442885	0.976890385	0.882377803	0.041687906	0.091052406	0	6.360000134	5.400000095	10.98999977	10.77000046	2.324884415	650846_M1_S2	402.256749	10.15290586	107.5	123.5	321	161.5	4000.5	908	312	3014	3003	6.479097347	2.844298819	2.833272166	-0.022357696	-3.153839636	-6.907755279	0.055521659	0.77120316	0.824371934	0.897356153	0.424427837	0.513014555	0.611976624	-0.769450843	361	533	397	3572	546	3028	0.061914216	0.758966208	0.856871794	0.903545545	0.393014735	0.500597356	0.56063601	-0.750814885	248.3888889	443.4444444	262.9166667	3916.638889	524.5833333	3028.805556	84.27336884	71.59975433	71.43493652	6
S-15-6	652934-M1-S2	0.15	558826	4891351	459.8774719	3.835712433	26.25859043	205.2410033	-0.904522115	-0.426426715	4.799697712	33.7879982	32.1962352	32.54098574	31.65516418	0.013293453	0.015367973	0.023368325	0.026737605	0.065968759	0.098257295	0.125754121	0.128180764	478.7873123	-18.90984033	0.243651926	no	no	54	1508.670044	79.31994629	3.880000114	15.86999989	1841.589966	45.0438631	744.9671203	200	58	80	237	128	2298	709	251	3023	3014	894	2199	1784	1645	-179	189	195	343	178	2722	950	342	3023	3012	877	2731	2219	1895	-290	97	115	254	142	2318	703	248	2951	2944	884	2356	1815	1644	-161	-1	40	196	105	2320	692	251	2981	2975	913	2088	1753	1692	-181	0.892	2.3435	1892.75	1719	-202.75	0.268436078	1.368802104	-0.097061351	-0.186758987	0.271265574	0.991193116	0.90683943	0.013293453	0.028293207	0.065968759	21.5	17.17499924	33.7879982	32.63999939	4.08569479	652934_M1_S2	459.8426294	24.17671963	77.5	97.5	245.5	135	2319	706	251	3002	2993.5	6.613341426	3.807658951	5.298322367	-0.007837518	-4.247953709	-2.703529047	0.025329883	0.818181813	0.874673605	0.913402081	0.476733983	0.529652357	0.56637758	-0.794362485	189	343	178	2722	342	3023	0.030065522	0.784112261	0.859262213	0.900308614	0.432931037	0.496068675	0.539060857	-0.743986859	206.9714286	349.9142857	203.0571429	2665.857143	370.8857143	3023	113.6268692	91.81208038	77.36457825	6
S-15-7	652934-M2-S2	0.063157895	558826	4891351	459.8774719	3.835712433	26.25859043	205.2410033	-0.904522115	-0.426426715	4.799697712	33.7879982	32.1962352	32.54098574	31.65516418	0.013293453	0.015367973	0.023368325	0.026737605	0.065968759	0.098257295	0.125754121	0.128180764	478.7873123	-18.90984033	0.243651926	no	no	54	1508.670044	79.31994629	3.880000114	15.86999989	1841.589966	45.0438631	744.9671203	200	58	80	237	128	2298	709	251	3023	3014	894	2199	1784	1645	-179	189	195	343	178	2722	950	342	3023	3012	877	2731	2219	1895	-290	97	115	254	142	2318	703	248	2951	2944	884	2356	1815	1644	-161	-1	40	196	105	2320	692	251	2981	2975	913	2088	1753	1692	-181	0.892	2.3435	1892.75	1719	-202.75	0.268436078	1.368802104	-0.097061351	-0.186758987	0.271265574	0.991193116	0.90683943	0.013293453	0.028293207	0.065968759	21.5	17.17499924	33.7879982	32.63999939	4.08569479	652934_M2_S2	459.8426294	24.17671963	77.5	97.5	245.5	135	2319	706	251	3002	2993.5	6.613341426	3.807658951	5.298322367	-0.007837518	-4.247953709	-2.703529047	0.025329883	0.818181813	0.874673605	0.913402081	0.476733983	0.529652357	0.56637758	-0.794362485	189	343	178	2722	342	3023	0.030065522	0.784112261	0.859262213	0.900308614	0.432931037	0.496068675	0.539060857	-0.743986859	206.9714286	349.9142857	203.0571429	2665.857143	370.8857143	3023	113.6268692	91.81208038	77.36457825	6
S-13-2	700226-M1-S2	0.6	565581	4892903	587.1253662	2.293884277	16.38626777	207.0849406	-0.890332508	-0.455310911	6.087364721	15.05599976	30.30279243	32.31105053	30.84891868	0.128076479	0.04153487	0.020829923	0.016222016	0.72766	0.229468463	0.148066715	0.130038509	587.1992696	-0.073903387	0.431383738	yes	no	6	1928.439941	39.77001953	3.730000019	15.72999954	1862.22998	13.26753879	310.6287315	25	48	87	270	155	2790	824	298	3017	3010	894	2146	2143	2005	-192	179	180	331	179	3115	964	343	3018	3005	891	2584	2441	2213	-241	70	90	241	124	2766	752	263	2956	2949	914	2328	2070	2014	-141	-10	29	207	114	2651	722	273	2975	2971	917	2033	1965	1946	-157	0.904	2.27275	2154.75	2044.5	-182.75	0.532798859	1.011911773	0.800666367	0.451903425	0.36210932	0.876987875	0.808202565	0.128076479	0.134498134	0.72766	6.210000038	5.230000019	15.05599976	14.51000023	3.240546465	700226_M1_S2	587.788494	12.12190195	59	88.5	255.5	139.5	2778	788	285.5	2996	2988	5.738601629	2.585395728	3.218915824	-0.130122496	-2.047350191	-0.316548048	0.045584962	0.773503125	0.815165877	0.888592422	0.422658533	0.490369588	0.574930191	-0.735458672	266	533	418	3273	606	3019	0.041072157	0.817313765	0.8663081	0.910229527	0.439049073	0.529891488	0.592633978	-0.794724491	196.1388889	374.9166667	222.6666667	3048.361111	392.1388889	3015.777778	148.5371246	136.0688477	124.8088989	5
S-13-3	700226-M2-S2	0.24	565581	4892903	587.1253662	2.293884277	16.38626777	207.0849406	-0.890332508	-0.455310911	6.087364721	15.05599976	30.30279243	32.31105053	30.84891868	0.128076479	0.04153487	0.020829923	0.016222016	0.72766	0.229468463	0.148066715	0.130038509	587.1992696	-0.073903387	0.431383738	yes	no	6	1928.439941	39.77001953	3.730000019	15.72999954	1862.22998	13.26753879	310.6287315	25	48	87	270	155	2790	824	298	3017	3010	894	2146	2143	2005	-192	179	180	331	179	3115	964	343	3018	3005	891	2584	2441	2213	-241	70	90	241	124	2766	752	263	2956	2949	914	2328	2070	2014	-141	-10	29	207	114	2651	722	273	2975	2971	917	2033	1965	1946	-157	0.904	2.27275	2154.75	2044.5	-182.75	0.532798859	1.011911773	0.800666367	0.451903425	0.36210932	0.876987875	0.808202565	0.128076479	0.134498134	0.72766	6.210000038	5.230000019	15.05599976	14.51000023	3.240546465	700226_M2_S2	587.788494	12.12190195	59	88.5	255.5	139.5	2778	788	285.5	2996	2988	5.738601629	2.585395728	3.218915824	-0.130122496	-2.047350191	-0.316548048	0.045584962	0.773503125	0.815165877	0.888592422	0.422658533	0.490369588	0.574930191	-0.735458672	266	533	418	3273	606	3019	0.041072157	0.817313765	0.8663081	0.910229527	0.439049073	0.529891488	0.592633978	-0.794724491	196.1388889	374.9166667	222.6666667	3048.361111	392.1388889	3015.777778	148.5371246	136.0688477	124.8088989	5
S-13-4	700239-M1-S2	0.03030303	563893	4892954	514.9047852	1.781032562	11.68738416	255.1700683	-0.255950799	-0.96668981	4.037645014	12.93999958	33.79364184	36.09120382	31.77486701	0.136345625	0.032940273	0.017415782	0.01511568	0.801558971	0.130128632	0.086240305	0.070925501	506.9480055	7.956779681	0.447931526	yes	no	22	1691.930054	35.26989746	4.260000229	16.59000015	1839.189941	46.54327365	1173.840415	25	62	99	312	190	3196	1175	468	3020	3010	887	2090	2564	2272	-451	200	208	402	230	3561	1343	543	3018	3005	878	2462	2925	2488	-518	106	138	320	214	3084	1103	430	2956	2951	870	2152	2493	2168	-386	3	56	257	157	3077	1075	434	2979	2969	902	2027	2407	2221	-403	0.88425	2.18275	2597.25	2287.25	-439.5	0.097701783	0.557917006	1.470169911	1.530560362	-0.804097261	0.940018475	0.826320529	0.136345625	0.148106754	0.801558971	4.840000153	4.559999943	12.93999958	12.47000027	2.844261408	700239_M1_S2	515.7002805	10.75026475	84	118.5	316	202	3140	1139	451	2998.5	2987	7.06803691	3.840403981	3.218915824	-0.060792506	-1.98525472	-0.219949942	0.04664576	0.721028507	0.832065165	0.887390018	0.324739099	0.433181822	0.474976391	-0.649701238	201	412	251	3596	587	3017	0.03475761	0.783945245	0.850600557	0.898388995	0.39861964	0.47320157	0.526921789	-0.709687531	196.8918919	358.7567568	213.5405405	2921.837838	440.6756757	3017.216216	135.8616028	125.9707336	105.8859253	5
S-13-5	HOBO-014-M1-S2	0.24	564342	4896049	1167.870117	4.042816162	27.41434728	338.0638409	0.927600679	-0.373573261	5.279500308	39.34000015	22.00815397	25.85735352	29.57753676	0.210362315	0.100027078	0.074628018	0.052958041	0.451621413	0.224770556	0.231322804	0.193535405	1217.249327	-49.37921007	0.348644793	no	yes	23	3834.449951	152.0700684	3.329999924	14.13000011	2426.570068	39.04573274	811.0087973	200	-47	5	198	133	2218	946	443	2986	2978	886	1749	1827	1574	-479	88	109	274	202	2485	1012	503	2990	2978	849	1981	2106	1705	-478	2	38	191	124	2282	896	374	2927	2924	896	1967	1831	1636	-396	-112	-53	80	67	1326	581	285	2955	2949	903	1480	1067	964	-322	0.8835	1.79425	1707.75	1469.75	-418.75	0.081179109	-1.40182707	-0.784491869	-0.637722904	-0.709846875	0.904035091	0.811522901	0.210362315	0.166666672	0.451621413	4.090000153	4.28000021	39.34000015	38.20999908	3.298383951	HOBO-014_M1_S2	1168.740345	46.35095685	-22.5	21.5	194.5	128.5	2250	921	408.5	2970.5	2963.5	6.698280135	3.664759204	5.298322367	-0.099781561	-1.554181485	-0.792699235	0.102996978	0.544072926	0.817847133	0.94470048	0.327091128	0.47804153	0.704444468	-0.716371775	75	193	118	1479	267	2988	0.109363289	0.506483355	0.844572966	0.935886771	0.171723865	0.440583826	0.633597789	-0.66063821	105.8918919	335.6486486	187.1891892	3379.324324	581.7837838	2987.432432	264.0804749	232.2565918	270.8380432	3
S-13-6	HOBO-016-M1-S2	0.2	564939	4897856	635.8238525	3.54964447	25.22278572	356.4936102	0.998127984	-0.061159855	4.016784408	60.34999847	29.07381669	34.00791554	36.55716406	0.004209808	0.00917321	0.017812642	0.017759513	0.050631471	0.11005788	0.155631101	0.133766297	655.7290591	-19.90520658	0.286162625	yes	yes	32	2091.719971	205.0300293	3.450000048	15.14999962	2126.570068	61.45096472	163.6791932	59	6	37	168	90	2000	601	220	3011	3003	913	2109	1513	1458	-161	146	153	249	131	2053	701	265	3014	3001	880	2838	1665	1432	-215	37	60	185	105	2000	587	222	2953	2945	900	2172	1529	1442	-144	-60	-16	91	44	1560	444	160	2971	2965	945	1948	1130	1170	-119	0.9095	2.26675	1459.25	1375.5	-159.75	0.653965133	0.981645455	-1.044432998	-1.243477139	0.466579627	0.993400872	0.934915602	0.004209808	0.016727524	0.050631471	22.39999962	18.09000015	60.34999847	57.76699829	4.822570801	HOBO-016_M1_S2	637.5562472	62.49315293	21.5	48.5	176.5	97.5	2000	594	221	2991	2983	5.097914483	4.118255808	4.077554393	-0.005614862	-5.257212351	-2.96362389	0.038997745	0.784210503	0.865612626	0.910018563	0.435084254	0.526952684	0.603686631	-0.790284157	155	285	160	2444	317	3014	0.040519758	0.761573916	0.871526832	0.932171857	0.447381812	0.536397266	0.607863028	-0.80443183	156.7142857	291.2857143	161.6857143	2656.085714	324.6285714	3013.742857	155.3183289	131.7973785	85.47831726	5
S-13-7	HOBO-032-M1-S2	0.315789474	565592	4895774	1184.221313	3.545074463	24.79070221	79.19160003	0.187525323	0.982259769	5.211893996	32.29000092	25.29412977	29.06164187	27.70762219	0.004160426	0.069104571	0.071723486	0.052611551	0.03944084	0.224558168	0.22999164	0.203092083	1176.637253	7.584060496	0.317546362	yes	yes	8	3882.040039	76.45996094	3.539999962	14.23999977	2494.469971	28.43793811	1108.3837	61	-9	36	236	130	2825	708	261	2987	2980	912	2019	2080	2068	-101	122	150	310	167	3126	800	296	2994	2985	898	2462	2364	2245	-107	11	52	213	120	2684	631	233	2931	2926	914	2126	1957	1969	-62	-64	-6	170	96	2579	611	225	2959	2953	928	1939	1845	1920	-78	0.913	2.1365	2061.5	2050.5	-87	0.731070944	0.32461414	0.817214343	0.224593235	0.79702375	0.998835087	0.936808527	0.004160426	0.023617022	0.03944084	22.15999985	17.51000023	32.29000092	30.93600082	3.853515148	HOBO-032_M1_S2	1183.245804	23.30499609	1	44	224.5	125	2754.5	669.5	247	2973	2966.5	7.010659009	3.347759266	4.110890257	-1.65E-04	-5.266736127	-3.207915102	0.056787152	0.758590281	0.853500009	0.914575577	0.484876841	0.556548655	0.673355103	-0.834699333	149	351	238	3142	411	2994	0.055117294	0.721025188	0.87153603	0.919619242	0.487438842	0.579029379	0.687815036	-0.868390237	135.1714286	332.1142857	199.6857143	3085.657143	383	2992.714286	302.3607483	278.4676514	273.5672607	1
S-13-8	HOBO-032-M2-S2	0.461538462	565592	4895774	1184.221313	3.545074463	24.79070221	79.19160003	0.187525323	0.982259769	5.211893996	32.29000092	25.29412977	29.06164187	27.70762219	0.004160426	0.069104571	0.071723486	0.052611551	0.03944084	0.224558168	0.22999164	0.203092083	1176.637253	7.584060496	0.317546362	yes	yes	8	3882.040039	76.45996094	3.539999962	14.23999977	2494.469971	28.43793811	1108.3837	61	-9	36	236	130	2825	708	261	2987	2980	912	2019	2080	2068	-101	122	150	310	167	3126	800	296	2994	2985	898	2462	2364	2245	-107	11	52	213	120	2684	631	233	2931	2926	914	2126	1957	1969	-62	-64	-6	170	96	2579	611	225	2959	2953	928	1939	1845	1920	-78	0.913	2.1365	2061.5	2050.5	-87	0.731070944	0.32461414	0.817214343	0.224593235	0.79702375	0.998835087	0.936808527	0.004160426	0.023617022	0.03944084	22.15999985	17.51000023	32.29000092	30.93600082	3.853515148	HOBO-032_M2_S2	1183.245804	23.30499609	1	44	224.5	125	2754.5	669.5	247	2973	2966.5	7.010659009	3.347759266	4.110890257	-1.65E-04	-5.266736127	-3.207915102	0.056787152	0.758590281	0.853500009	0.914575577	0.484876841	0.556548655	0.673355103	-0.834699333	149	351	238	3142	411	2994	0.055117294	0.721025188	0.87153603	0.919619242	0.487438842	0.579029379	0.687815036	-0.868390237	135.1714286	332.1142857	199.6857143	3085.657143	383	2992.714286	302.3607483	278.4676514	273.5672607	1
S-8-1	HOBO-036-M1-S2	0.3	566184	4897312	783.8416748	0.772575378	5.521121345	34.55203079	0.823611491	0.567154399	7.072332288	35.40000153	27.06441178	34.09431495	34.18160911	0.005808864	0.010996171	0.020060092	0.021901248	0.129386485	0.098835676	0.188413597	0.164044014	741.0843954	42.75727938	0.431669044	yes	yes	9	2571.840088	0.169921875	3.970000029	14.97000027	2271.949951	4.549374134	260.140908	59	52	99	299	234	2649	993	434	3009	3001	837	1823	2204	1824	-382	176	192	327	223	2749	969	396	3015	3003	849	2384	2270	1892	-321	57	93	238	169	2409	762	324	2952	2943	868	2053	1906	1700	-229	-23	41	231	182	2617	907	388	2971	2964	869	1789	2080	1860	-332	0.85575	2.01225	2115	1819	-316	-0.53015982	-0.302150857	0.178738255	0.355007124	-0.243137133	0.805044949	0.850472689	0.005808864	0.021184642	0.129386485	18.47999954	14.73999977	35.40000153	33.86999893	4.325189114	HOBO-036_M1_S2	783.8968588	0.051792188	54.5	96	268.5	202.5	2633	938	392	2990	2982.5	5.561227282	1.515209457	4.077554393	-0.21561577	-4.989529949	-2.03725228	0.064181078	0.777777791	0.850046277	0.893523574	0.392544568	0.506154954	0.616950572	-0.759095013	182	392	291	2789	525	3017	0.049500146	0.745977458	0.88181175	0.934204815	0.498086961	0.590633445	0.692291561	-0.885771437	150.5555556	316.1111111	174	2844.194444	310.1388889	3014.694444	215.3766937	213.7645721	181.4364471	3
S-8-2	HOBO-036-M2-S2	0.3	566184	4897312	783.8416748	0.772575378	5.521121345	34.55203079	0.823611491	0.567154399	7.072332288	35.40000153	27.06441178	34.09431495	34.18160911	0.005808864	0.010996171	0.020060092	0.021901248	0.129386485	0.098835676	0.188413597	0.164044014	741.0843954	42.75727938	0.431669044	yes	yes	9	2571.840088	0.169921875	3.970000029	14.97000027	2271.949951	4.549374134	260.140908	59	52	99	299	234	2649	993	434	3009	3001	837	1823	2204	1824	-382	176	192	327	223	2749	969	396	3015	3003	849	2384	2270	1892	-321	57	93	238	169	2409	762	324	2952	2943	868	2053	1906	1700	-229	-23	41	231	182	2617	907	388	2971	2964	869	1789	2080	1860	-332	0.85575	2.01225	2115	1819	-316	-0.53015982	-0.302150857	0.178738255	0.355007124	-0.243137133	0.805044949	0.850472689	0.005808864	0.021184642	0.129386485	18.47999954	14.73999977	35.40000153	33.86999893	4.325189114	HOBO-036_M2_S2	783.8968588	0.051792188	54.5	96	268.5	202.5	2633	938	392	2990	2982.5	5.561227282	1.515209457	4.077554393	-0.21561577	-4.989529949	-2.03725228	0.064181078	0.777777791	0.850046277	0.893523574	0.392544568	0.506154954	0.616950572	-0.759095013	182	392	291	2789	525	3017	0.049500146	0.745977458	0.88181175	0.934204815	0.498086961	0.590633445	0.692291561	-0.885771437	150.5555556	316.1111111	174	2844.194444	310.1388889	3014.694444	215.3766937	213.7645721	181.4364471	3
S-9-1	HOBO-053-M1-S2	0.056603774	567374	4899019	927.1171265	1.701057434	10.55097995	241.6651013	-0.474624417	-0.880188425	5.24124324	62.25999832	35.69022488	38.33527776	39.15493917	0.002157093	0.009344335	0.011935463	0.01236239	0.008112544	0.092029372	0.112456923	0.098967906	937.0804129	-9.963286386	0.241369472	no	yes	36	3041.649902	124.3300781	3.400000095	14.13000011	2257.050049	64.09792233	712.7067249	200	-36	13	167	104	1701	551	228	3005	2999	884	1791	1330	1217	-176	113	144	295	165	2059	763	296	3007	2997	851	2403	1731	1404	-256	9	47	188	114	1763	540	212	2942	2936	878	1967	1380	1252	-141	-90	-36	103	59	1415	438	187	2966	2961	919	1661	1060	1044	-148	0.883	1.9555	1375.25	1229.25	-180.25	0.070163993	-0.58841978	-1.447789922	-1.448239133	0.373464788	0.998405635	0.967609704	0.002157093	0.005793664	0.008112544	39.02999878	31.34000015	62.25999832	59.25	6.059020996	HOBO-053_M1_S2	927.0948901	37.8958078	-13.5	30	177.5	109	1732	545.5	220	2985.5	2979	6.569071413	4.160427551	5.298322367	-5.95E-04	-5.758103751	-4.698103332	0.044196598	0.754966915	0.860777736	0.899736166	0.457174629	0.519521654	0.624804974	-0.77914542	137	325	192	2625	362	3008	0.039369217	0.744531227	0.849875555	0.908792447	0.442044945	0.517653895	0.586453417	-0.776335713	129.4864865	322.5945946	185.2432432	2604.378378	369.4594595	3007.27027	230.3018799	206.2454071	190.0950012	3
S-9-2	HOBO-055-M1-S2	0.066666667	567367	4898518	857.6818848	4.213218689	28.89172089	200.2743471	-0.938044173	-0.346515699	3.652557368	43.93099976	35.51703966	39.18221291	39.89336722	0.012703172	0.012850743	0.012254254	0.014522825	0.116222188	0.104835717	0.115977007	0.113970852	842.4487076	15.23317718	0.218830243	yes	yes	57	2809.73999	107.5200195	3.910000086	14.73999977	2224.310059	43.28415464	377.3869135	57	6	53	241	142	2150	696	280	3007	3000	876	1926	1705	1519	-207	143	170	351	208	2576	902	372	3010	3000	850	2321	2141	1762	-289	24	60	216	124	2161	618	240	2946	2940	891	2073	1659	1549	-138	-47	11	201	127	2160	690	284	2969	2964	888	1789	1676	1552	-218	0.87625	2.02725	1795.25	1595.5	-213	-0.078540071	-0.226485063	-0.437673865	-0.42442916	0.224708155	0.970490754	0.917922795	0.012703172	0.027246758	0.116222188	20.23749924	15.10999966	43.93099976	39.90000153	5.367945671	HOBO-055_M1_S2	856.408749	32.77210194	15	56.5	228.5	134.5	2160.5	693	282	2988	2982	5.933273607	3.767809727	4.043068812	-0.028923528	-4.290127945	-2.143684103	0.036706651	0.796075702	0.892416894	0.936422825	0.502079308	0.57168144	0.631755114	-0.857395649	135	318	163	2941	321	3010	0.036181738	0.756970481	0.876620512	0.925334074	0.499665008	0.570063377	0.631113173	-0.854956845	134.9428571	304.2	165.2571429	2771.971429	308.8	3009.657143	221.3501892	209.3944855	182.4542542	3
S-14-1	HOBO-060-M1-S2	0.05	567339	4895095	1182.458496	3.850860596	26.3559941	6.170891069	0.994205704	0.107494267	5.729298107	24.07999992	20.55546197	27.9155735	30.87271163	0.016079966	0.03846894	0.05846718	0.039013424	0.440938711	0.376334582	0.246476724	0.175856026	1179.906942	2.551553771	0.129243937	yes	yes	0	3888.629883	79.64013672	3.25999999	14.06999969	2688.25	83.85760617	658.8014009	56	-30	16	203	96	2811	824	325	2977	2973	933	2076	2086	2077	-239	100	116	254	128	2944	920	368	2983	2976	916	2476	2262	2130	-286	-19	28	179	89	2528	734	280	2925	2921	931	2137	1874	1867	-202	-94	-34	123	62	2254	663	249	2948	2943	946	1901	1636	1693	-201	0.9315	2.1475	1964.5	1941.75	-232	1.13863023	0.380102389	0.517282272	-0.011858117	0.138406597	0.996914387	0.92583549	0.016079966	0.057074245	0.440938711	12.48999977	8.130000114	24.07999992	22.79999924	3.211731195	HOBO-060_M1_S2	1185.254388	24.27431367	-24.5	22	191	92.5	2669.5	779	302.5	2962.5	2958	6.490423643	4.429132121	4.025369548	-0.002087791	-4.069849082	-0.816584069	0.076299308	0.701130867	0.903891385	0.943847477	0.441514552	0.564743936	0.734939754	-0.846961856	131	313	167	3372	387	2982	0.087105692	0.596237879	0.86885285	0.955608656	0.357922213	0.530425066	0.702046892	-0.795407186	104.5714286	290.4857143	146.9714286	3360.714286	444.2571429	2982.571429	281.7189331	275.7696533	310.8761902	1
